基金代码,拼音缩写,基金简称,基金类型,拼音全称
020698,GTHTKCBLHXGGPFQA,国泰海通科创板量化选股股票发起A,股票型,GUOTAIHAITONGKECHUANGBANLIANGHUAXUANGUGUPIAOFAQIA
020699,GTHTKCBLHXGGPFQC,国泰海通科创板量化选股股票发起C,股票型,GUOTAIHAITONGKECHUANGBANLIANGHUAXUANGUGUPIAOFAQIC
020720,GSABGDZBGPFQSA,国寿安保高端装备股票发起式A,股票型,GUOSHOUANBAOGAODUANZHUANGBEIGUPIAOFAQISHIA
020721,GSABGDZBGPFQSC,国寿安保高端装备股票发起式C,股票型,GUOSHOUANBAOGAODUANZHUANGBEIGUPIAOFAQISHIC
020722,GSABSZJJGPFQSA,国寿安保数字经济股票发起式A,股票型,GUOSHOUANBAOSHUZIJINGJIGUPIAOFAQISHIA
020723,GSABSZJJGPFQSC,国寿安保数字经济股票发起式C,股票型,GUOSHOUANBAOSHUZIJINGJIGUPIAOFAQISHIC
020726,JXLHPZHHC,建信灵活配置混合C,混合型-灵活,JIANXINLINGHUOPEIZHIHUNHEC
020748,GLZXXFGPA,国联智选先锋股票A,股票型,GUOLIANZHIXUANXIANFENGGUPIAOA
020749,GLZXXFGPC,国联智选先锋股票C,股票型,GUOLIANZHIXUANXIANFENGGUPIAOC
020755,YYRAHHA,永赢融安混合A,混合型-偏股,YONGYINGRONGANHUNHEA
020758,YYRAHHC,永赢融安混合C,混合型-偏股,YONGYINGRONGANHUNHEC
020759,JXHLJXGPFQA,建信红利精选股票发起A,股票型,JIANXINHONGLIJINGXUANGUPIAOFAQIA
020760,JXHLJXGPFQC,建信红利精选股票发起C,股票型,JIANXINHONGLIJINGXUANGUPIAOFAQIC
020768,ZXBCGQHLLHXGGPA,中信保诚国企红利量化选股股票A,股票型,ZHONGXINBAOCHENGGUOQIHONGLILIANGHUAXUANGUGUPIAOA
020769,ZXBCGQHLLHXGGPC,中信保诚国企红利量化选股股票C,股票型,ZHONGXINBAOCHENGGUOQIHONGLILIANGHUAXUANGUGUPIAOC
020772,ZXJTLHXGGPA,中信建投量化选股股票A,股票型,ZHONGXINJIANTOULIANGHUAXUANGUGUPIAOA
020773,ZXJTLHXGGPC,中信建投量化选股股票C,股票型,ZHONGXINJIANTOULIANGHUAXUANGUGUPIAOC
020774,GSABCYSJGPFQSC,国寿安保产业升级股票发起式C,股票型,GUOSHOUANBAOCHANYESHENGJIGUPIAOFAQISHIC
020775,GSABCYSJGPFQSA,国寿安保产业升级股票发起式A,股票型,GUOSHOUANBAOCHANYESHENGJIGUPIAOFAQISHIA
020779,XCXNYLHXGHHA,湘财新能源量化选股混合A,混合型-偏股,XIANGCAIXINNENGYUANLIANGHUAXUANGUHUNHEA
020780,XCXNYLHXGHHC,湘财新能源量化选股混合C,混合型-偏股,XIANGCAIXINNENGYUANLIANGHUAXUANGUHUNHEC
020799,THHLZXHHA,天弘红利智选混合A,混合型-偏股,TIANHONGHONGLIZHIXUANHUNHEA
020800,THHLZXHHC,天弘红利智选混合C,混合型-偏股,TIANHONGHONGLIZHIXUANHUNHEC
020801,YFDHLHHA,易方达红利混合A,混合型-偏股,YIFANGDAHONGLIHUNHEA
020802,YFDHLHHC,易方达红利混合C,混合型-偏股,YIFANGDAHONGLIHUNHEC
020803,DFHLHXGHHFQA,东方红量化选股混合发起A,混合型-偏股,DONGFANGHONGLIANGHUAXUANGUHUNHEFAQIA
020804,DFHLHXGHHFQC,东方红量化选股混合发起C,混合型-偏股,DONGFANGHONGLIANGHUAXUANGUHUNHEFAQIC
020816,XCHLLHXGHHA,湘财红利量化选股混合A,混合型-偏股,XIANGCAIHONGLILIANGHUAXUANGUHUNHEA
020817,XCHLLHXGHHC,湘财红利量化选股混合C,混合型-偏股,XIANGCAIHONGLILIANGHUAXUANGUHUNHEC
020821,DCLXDLHHA,大成领先动力混合A,混合型-偏股,DACHENGLINGXIANDONGLIHUNHEA
020822,DCLXDLHHC,大成领先动力混合C,混合型-偏股,DACHENGLINGXIANDONGLIHUNHEC
020830,DXYYSWLHXGHHA,东兴医药生物量化选股混合A,混合型-偏股,DONGXINGYIYAOSHENGWULIANGHUAXUANGUHUNHEA
020831,DXYYSWLHXGHHC,东兴医药生物量化选股混合C,混合型-偏股,DONGXINGYIYAOSHENGWULIANGHUAXUANGUHUNHEC
020842,LBZXHHA,联博智选混合A,混合型-偏股,LIANBOZHIXUANHUNHEA
020843,LBZXHHC,联博智选混合C,混合型-偏股,LIANBOZHIXUANHUNHEC
020848,SZZTPHPZHHFQA,尚正正泰平衡配置混合发起A,混合型-灵活,SHANGZHENGZHENGTAIPINGHENGPEIZHIHUNHEFAQIA
020849,SZZTPHPZHHFQC,尚正正泰平衡配置混合发起C,混合型-灵活,SHANGZHENGZHENGTAIPINGHENGPEIZHIHUNHEFAQIC
020864,YHJXPHHHFQSA,银华嘉选平衡混合发起式A,混合型-灵活,YINHUAJIAXUANPINGHENGHUNHEFAQISHIA
020865,YHJXPHHHFQSC,银华嘉选平衡混合发起式C,混合型-灵活,YINHUAJIAXUANPINGHENGHUNHEFAQISHIC
020875,ZOLHQDHHC,中欧量化驱动混合C,混合型-偏股,ZHONGOULIANGHUAQUDONGHUNHEC
020876,ZOJQJXHHA,中欧景气精选混合A,混合型-偏股,ZHONGOUJINGQIJINGXUANHUNHEA
