fund_code,report_period,stock_count,granularity
110022,2025年1季度股票投资明细,16,top50_or_partial
110022,2025年2季度股票投资明细,60,full_stock_holdings
110022,2025年3季度股票投资明细,11,top50_or_partial
110022,2025年4季度股票投资明细,50,top50_or_partial
161005,2023年1季度股票投资明细,40,top50_or_partial
161005,2023年2季度股票投资明细,247,full_stock_holdings
161005,2023年3季度股票投资明细,41,top50_or_partial
161005,2023年4季度股票投资明细,252,full_stock_holdings
161005,2024年1季度股票投资明细,48,top50_or_partial
161005,2024年2季度股票投资明细,215,full_stock_holdings
161005,2024年3季度股票投资明细,43,top50_or_partial
161005,2024年4季度股票投资明细,245,full_stock_holdings
161005,2025年1季度股票投资明细,39,top50_or_partial
161005,2025年2季度股票投资明细,268,full_stock_holdings
161005,2025年3季度股票投资明细,26,top50_or_partial
161005,2025年4季度股票投资明细,275,full_stock_holdings
163406,2023年1季度股票投资明细,48,top50_or_partial
163406,2023年2季度股票投资明细,156,full_stock_holdings
163406,2023年3季度股票投资明细,39,top50_or_partial
163406,2023年4季度股票投资明细,70,full_stock_holdings
163406,2024年1季度股票投资明细,40,top50_or_partial
163406,2024年2季度股票投资明细,58,full_stock_holdings
163406,2024年3季度股票投资明细,30,top50_or_partial
163406,2024年4季度股票投资明细,54,full_stock_holdings
163406,2025年1季度股票投资明细,29,top50_or_partial
163406,2025年2季度股票投资明细,60,full_stock_holdings
163406,2025年3季度股票投资明细,25,top50_or_partial
163406,2025年4季度股票投资明细,68,full_stock_holdings
166002,2023年1季度股票投资明细,31,top50_or_partial
166002,2023年2季度股票投资明细,187,full_stock_holdings
166002,2023年3季度股票投资明细,19,top50_or_partial
166002,2023年4季度股票投资明细,167,full_stock_holdings
166002,2024年1季度股票投资明细,12,top50_or_partial
166002,2024年2季度股票投资明细,87,full_stock_holdings
166002,2024年3季度股票投资明细,12,top50_or_partial
166002,2024年4季度股票投资明细,118,full_stock_holdings
166002,2025年1季度股票投资明细,16,top50_or_partial
166002,2025年2季度股票投资明细,98,full_stock_holdings
166002,2025年3季度股票投资明细,12,top50_or_partial
166002,2025年4季度股票投资明细,84,full_stock_holdings
260108,2023年1季度股票投资明细,15,top50_or_partial
260108,2023年2季度股票投资明细,100,full_stock_holdings
260108,2023年3季度股票投资明细,13,top50_or_partial
260108,2023年4季度股票投资明细,117,full_stock_holdings
260108,2024年1季度股票投资明细,12,top50_or_partial
260108,2024年2季度股票投资明细,54,full_stock_holdings
260108,2024年3季度股票投资明细,12,top50_or_partial
260108,2024年4季度股票投资明细,43,top50_or_partial
260108,2025年1季度股票投资明细,12,top50_or_partial
260108,2025年2季度股票投资明细,44,top50_or_partial
260108,2025年3季度股票投资明细,13,top50_or_partial
260108,2025年4季度股票投资明细,47,top50_or_partial
340007,2023年1季度股票投资明细,13,top50_or_partial
340007,2023年2季度股票投资明细,79,full_stock_holdings
340007,2023年3季度股票投资明细,15,top50_or_partial
340007,2023年4季度股票投资明细,91,full_stock_holdings
340007,2024年1季度股票投资明细,14,top50_or_partial
340007,2024年2季度股票投资明细,62,full_stock_holdings
340007,2024年3季度股票投资明细,10,top10_only
340007,2024年4季度股票投资明细,89,full_stock_holdings
340007,2025年1季度股票投资明细,11,top50_or_partial
340007,2025年2季度股票投资明细,95,full_stock_holdings
340007,2025年3季度股票投资明细,10,top10_only
340007,2025年4季度股票投资明细,93,full_stock_holdings
450002,2023年1季度股票投资明细,11,top50_or_partial
450002,2023年2季度股票投资明细,122,full_stock_holdings
450002,2023年3季度股票投资明细,10,top10_only
450002,2023年4季度股票投资明细,137,full_stock_holdings
450002,2024年1季度股票投资明细,10,top10_only
450002,2024年2季度股票投资明细,68,full_stock_holdings
450002,2024年3季度股票投资明细,10,top10_only
450002,2024年4季度股票投资明细,38,top50_or_partial
450002,2025年1季度股票投资明细,10,top10_only
450002,2025年2季度股票投资明细,65,full_stock_holdings
450002,2025年3季度股票投资明细,10,top10_only
450002,2025年4季度股票投资明细,72,full_stock_holdings
519068,2023年1季度股票投资明细,11,top50_or_partial
519068,2023年2季度股票投资明细,149,full_stock_holdings
519068,2023年3季度股票投资明细,11,top50_or_partial
519068,2023年4季度股票投资明细,151,full_stock_holdings
519068,2024年1季度股票投资明细,10,top10_only
519068,2024年2季度股票投资明细,99,full_stock_holdings
519068,2024年3季度股票投资明细,10,top10_only
519068,2024年4季度股票投资明细,123,full_stock_holdings
