fund_code,entity_type,fetch_timestamp,akshare_version,is_success,record_count,error_message,elapsed_seconds,data_hash
260108,holdings,2026-06-04 14:09:34.463678,1.18.64,True,483,,0.0,N/A
260108,industry,2026-06-04 14:09:45.445496,1.18.64,True,23,,7.73,871b33a497a12d90
260108,nav,2026-06-04 14:09:03.312224,1.18.64,True,4844,,7.77,d7092222e2e44d69
340007,basic_info,2026-06-04 14:23:06.713415,1.18.64,True,14,,1.8,ad5bdbf9d20ca42f
340007,holdings,2026-06-04 14:23:32.149847,1.18.64,True,583,,0.0,N/A
340007,industry,2026-06-04 14:23:37.158569,1.18.64,True,33,,2.11,942d4114089a908e
340007,nav,2026-06-04 14:23:15.834484,1.18.64,True,4397,,6.92,9439afbd381c0906
450002,basic_info,2026-06-04 14:14:41.264601,1.18.64,True,14,,2.25,a53e97aea1b83f6c
450002,holdings,2026-06-04 14:15:07.746957,1.18.64,True,563,,0.0,N/A
450002,industry,2026-06-04 14:15:15.057455,1.18.64,True,25,,4.14,d055ffae19904641
450002,nav,2026-06-04 14:14:49.197008,1.18.64,True,4862,,5.79,ae53e530526502bb
519068,basic_info,2026-06-04 14:09:50.548746,1.18.64,True,14,,3.04,c58666f7bad91a2d
519068,holdings,2026-06-04 14:10:51.215891,1.18.64,True,898,,0.0,N/A
519068,industry,2026-06-04 14:11:00.236333,1.18.64,True,45,,4.54,e2d5870eed760ff1
519068,nav,2026-06-04 14:10:11.257193,1.18.64,True,4690,,18.49,02a44e344a126eb0
519712,basic_info,2026-06-04 14:23:41.564361,1.18.64,True,14,,2.36,940d9bd90193bac2
519712,holdings,2026-06-04 14:24:07.388877,1.18.64,True,733,,0.0,N/A
519712,industry,2026-06-04 14:24:13.344756,1.18.64,True,42,,2.35,23161f3f750bc5bd
519712,nav,2026-06-04 14:23:49.859853,1.18.64,True,3361,,6.08,2b3a2a61f55e5c28
519736,basic_info,2026-06-04 14:15:22.562505,1.18.64,True,14,,5.44,1d68342792ae7791
519736,holdings,2026-06-04 14:16:06.943039,1.18.64,True,791,,0.0,N/A
519736,industry,2026-06-04 14:16:13.358246,1.18.64,True,37,,3.03,98782f710edb109a
519736,nav,2026-06-04 14:15:40.966329,1.18.64,True,2893,,15.81,e4b3808a6dcb91d4
519772,basic_info,2026-06-04 14:27:34.421786,1.18.64,True,14,,6.17,51556e7b199cfbc9
519772,holdings,2026-06-04 14:28:22.938915,1.18.64,True,587,,0.0,N/A
519772,industry,2026-06-04 14:28:31.455181,1.18.64,True,28,,4.92,ed3ed9b4dedaa768
519772,nav,2026-06-04 14:27:50.654140,1.18.64,True,2312,,13.87,e309e1f374b6f8e2
540003,basic_info,2026-06-04 14:24:17.338575,1.18.64,True,14,,1.95,7cae759dd0cb0e4f
540003,holdings,2026-06-04 14:24:43.151393,1.18.64,True,243,,0.0,N/A
540003,industry,2026-06-04 14:24:47.316566,1.18.64,True,17,,1.72,923dc88aa1774728
540003,nav,2026-06-04 14:24:25.499130,1.18.64,True,4650,,5.96,b75fe23c3f99cb4e
570001,basic_info,2026-06-04 14:24:56.515886,1.18.64,True,14,,7.0,99b664c39518ccc6
570001,holdings,2026-06-04 14:25:29.381709,1.18.64,True,241,,0.0,N/A
570001,industry,2026-06-04 14:25:36.394537,1.18.64,True,24,,3.63,838db1d4c11d9b93
570001,nav,2026-06-04 14:25:10.715293,1.18.64,True,4644,,11.89,26b91805dd7eca00
